transit_id,pl_period,pl_transit_duration,pl_transit_depth,pl_radius,pl_eq_temp,pl_insolation_flux,st_eff_temp,st_radius,st_logg
K02162.02,199.66876,8.996,251.9,1.45,305.0,2.06,5678.0,0.921,4.409
K07839.01,0.566816802,1.981,94.0,0.68,1585.0,1483.43,4665.0,0.704,4.584
K01999.01,1.120646438,1.7664,322.5,89.35,2783.0,14127.22,4972.0,4.034,3.449
K03985.01,3.55653637,8.7,202.5,1.7,1272.0,619.57,5950.0,1.114,4.395
K01709.01,22.4685309,3.034,242.3,20.05,1040.0,276.85,5461.0,3.301,3.566
K01712.01,10.16104834,3.0448,908.9,2.72,800.0,96.98,5636.0,0.913,4.462
K01714.01,2.743978797,6.442,39994.0,38.11,1136.0,392.49,5334.0,0.81,4.492
K01771.01,91.05641908,6.7282,57607.6,53.1,431.0,8.13,6142.0,1.046,4.456
K03989.01,1.204529346,1.62,86.9,1.4,1968.0,3561.16,5340.0,1.504,4.046
K01638.01,4.593594819,2.6391,1455.2,8.85,1125.0,378.37,6075.0,0.969,4.486
K02599.01,25.3239215,70.405,1379.7,19.02,484.0,12.94,5128.0,0.668,4.6
K02630.01,4.1749166,4.828,40.7,0.61,1116.0,366.59,5910.0,0.94,4.505
K01730.01,6.352090869,3.88771,75141.7,18.9,772.0,83.66,5089.0,0.693,4.58
K02161.01,2.84573962,7.28,211.7,3.63,1829.0,2645.94,5557.0,2.372,3.792
K07812.01,3.40076682,4.7,21.1,0.69,1540.0,1328.5,6134.0,1.496,4.142
K04002.01,0.524175803,0.7648,236.8,1.27,1891.0,3049.23,5278.0,0.815,4.576
K01791.01,22.91339043,3.94,5407.0,24.11,510.0,15.94,5451.0,0.6,4.663
K01777.01,2.685223546,4.0632,5494.6,28.98,1111.0,360.92,5552.0,0.719,4.62
K02211.01,0.805259637,0.9779,341.8,1.93,2115.0,4732.34,6257.0,1.022,4.454
K02231.01,2.464160779,2.427,116.7,36.93,1709.0,2018.62,5238.0,1.883,3.84
K07845.01,341.01495,5.12,386.0,1.72,234.0,0.71,5327.0,0.896,4.456
K01778.01,1.519529227,5.1675,8372.5,11.12,1653.0,1766.31,6033.0,1.046,4.46
K07824.01,0.566799125,3.072,30.7,0.56,2299.0,6590.95,6063.0,1.004,4.451
K03941.01,1.061935973,3.3177,337.9,24.17,1961.0,3479.87,6274.0,1.062,4.434
K07834.01,7.3812344,2.802,104.5,1.0,944.0,187.24,6072.0,0.923,4.51
